cluster_id,genome_id,cluster_size
GCF_000007085.1_NC_003869.1_212,GCF_000007085.1,32
GCF_000007085.1_NC_003869.1_2141,GCF_000007085.1,43
GCF_000007085.1_NC_003869.1_2216,GCF_000007085.1,25
GCF_000007085.1_NC_003869.1_2297,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_2324,GCF_000007085.1,21
GCF_000007085.1_NC_003869.1_2337,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_2339,GCF_000007085.1,10
GCF_000007085.1_NC_003869.1_2366,GCF_000007085.1,12
GCF_000007085.1_NC_003869.1_2428,GCF_000007085.1,20
GCF_000007085.1_NC_003869.1_2447,GCF_000007085.1,10
GCF_000007085.1_NC_003869.1_2518,GCF_000007085.1,21
GCF_000007085.1_NC_003869.1_2555,GCF_000007085.1,16
GCF_000007085.1_NC_003869.1_2593,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_269,GCF_000007085.1,13
GCF_000007085.1_NC_003869.1_270,GCF_000007085.1,12
GCF_000007085.1_NC_003869.1_297,GCF_000007085.1,21
GCF_000007085.1_NC_003869.1_362,GCF_000007085.1,15
GCF_000007085.1_NC_003869.1_363,GCF_000007085.1,18
GCF_000007085.1_NC_003869.1_367,GCF_000007085.1,15
GCF_000007085.1_NC_003869.1_370,GCF_000007085.1,13
GCF_000007085.1_NC_003869.1_531,GCF_000007085.1,60
GCF_000007085.1_NC_003869.1_565,GCF_000007085.1,4052
GCF_000007085.1_NC_003869.1_577,GCF_000007085.1,18
GCF_000007085.1_NC_003869.1_585,GCF_000007085.1,39
GCF_000007085.1_NC_003869.1_680,GCF_000007085.1,16
GCF_000007085.1_NC_003869.1_72,GCF_000007085.1,10
GCF_000007085.1_NC_003869.1_721,GCF_000007085.1,18
GCF_000007085.1_NC_003869.1_749,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_761,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_773,GCF_000007085.1,27
GCF_000007085.1_NC_003869.1_873,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_877,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_891,GCF_000007085.1,16
GCF_000007085.1_NC_003869.1_914,GCF_000007085.1,13
GCF_000007085.1_NC_003869.1_918,GCF_000007085.1,14
GCF_000007085.1_NC_003869.1_976,GCF_000007085.1,15
GCF_000007485.1_NC_004572.3_132,GCF_000007485.1,456
GCF_000007485.1_NC_004572.3_142,GCF_000007485.1,146
GCF_000007485.1_NC_004572.3_39,GCF_000007485.1,36
GCF_000007485.1_NC_004572.3_511,GCF_000007485.1,1339
GCF_000007485.1_NC_004572.3_588,GCF_000007485.1,140
GCF_000007485.1_NC_004572.3_732,GCF_000007485.1,13
GCF_000007485.1_NC_004572.3_822,GCF_000007485.1,1340
GCF_000007485.1_NC_004572.3_83,GCF_000007485.1,1113
GCF_000007485.1_NC_004572.3_920,GCF_000007485.1,1080
GCF_000007605.1_NC_003361.3_160,GCF_000007605.1,11
GCF_000007605.1_NC_003361.3_184,GCF_000007605.1,19
GCF_000007605.1_NC_003361.3_292,GCF_000007605.1,11
GCF_000007605.1_NC_003361.3_305,GCF_000007605.1,11
GCF_000007605.1_NC_003361.3_358,GCF_000007605.1,17
GCF_000007605.1_NC_003361.3_360,GCF_000007605.1,10
GCF_000007605.1_NC_003361.3_400,GCF_000007605.1,19
GCF_000007605.1_NC_003361.3_401,GCF_000007605.1,18
GCF_000007605.1_NC_003361.3_408,GCF_000007605.1,28
GCF_000007605.1_NC_003361.3_529,GCF_000007605.1,20
GCF_000007605.1_NC_003361.3_597,GCF_000007605.1,19
GCF_000007605.1_NC_003361.3_645,GCF_000007605.1,19
GCF_000007605.1_NC_003361.3_690,GCF_000007605.1,14
GCF_000007605.1_NC_003361.3_720,GCF_000007605.1,19
GCF_000007605.1_NC_003361.3_740,GCF_000007605.1,11
GCF_000007605.1_NC_003361.3_819,GCF_000007605.1,19
GCF_000007605.1_NC_003361.3_925,GCF_000007605.1,11
GCF_000007605.1_NC_003361.3_935,GCF_000007605.1,12
GCF_000007605.1_NC_003361.3_947,GCF_000007605.1,16
GCF_000007745.1_NC_006300.1_1008,GCF_000007745.1,20
GCF_000007745.1_NC_006300.1_1104,GCF_000007745.1,57
GCF_000007745.1_NC_006300.1_1171,GCF_000007745.1,18
GCF_000007745.1_NC_006300.1_1219,GCF_000007745.1,13
GCF_000007745.1_NC_006300.1_1276,GCF_000007745.1,20
GCF_000007745.1_NC_006300.1_1437,GCF_000007745.1,14
GCF_000007745.1_NC_006300.1_1470,GCF_000007745.1,13
GCF_000007745.1_NC_006300.1_1523,GCF_000007745.1,25
GCF_000007745.1_NC_006300.1_1685,GCF_000007745.1,33
GCF_000007745.1_NC_006300.1_1988,GCF_000007745.1,53
GCF_000007745.1_NC_006300.1_1989,GCF_000007745.1,24
GCF_000007745.1_NC_006300.1_2020,GCF_000007745.1,52
GCF_000007745.1_NC_006300.1_2033,GCF_000007745.1,14
GCF_000007745.1_NC_006300.1_218,GCF_000007745.1,10
GCF_000007745.1_NC_006300.1_264,GCF_000007745.1,11
GCF_000007745.1_NC_006300.1_391,GCF_000007745.1,63
GCF_000007745.1_NC_006300.1_410,GCF_000007745.1,25
GCF_000007745.1_NC_006300.1_477,GCF_000007745.1,10
GCF_000007745.1_NC_006300.1_66,GCF_000007745.1,160
GCF_000007745.1_NC_006300.1_852,GCF_000007745.1,57
GCF_000007745.1_NC_006300.1_951,GCF_000007745.1,75
GCF_000007745.1_NC_006300.1_96,GCF_000007745.1,20
GCF_000007905.1_NC_004917.1_1046,GCF_000007905.1,17
GCF_000007905.1_NC_004917.1_1053,GCF_000007905.1,208
GCF_000007905.1_NC_004917.1_1142,GCF_000007905.1,12
GCF_000007905.1_NC_004917.1_1385,GCF_000007905.1,22
GCF_000007905.1_NC_004917.1_1460,GCF_000007905.1,11
GCF_000007905.1_NC_004917.1_1560,GCF_000007905.1,146
GCF_000007905.1_NC_004917.1_159,GCF_000007905.1,36
GCF_000007905.1_NC_004917.1_1642,GCF_000007905.1,13
GCF_000007905.1_NC_004917.1_1729,GCF_000007905.1,18
GCF_000007905.1_NC_004917.1_1764,GCF_000007905.1,12
GCF_000007905.1_NC_004917.1_194,GCF_000007905.1,10
GCF_000007905.1_NC_004917.1_575,GCF_000007905.1,142
GCF_000007905.1_NC_004917.1_877,GCF_000007905.1,10
GCF_000007905.1_NC_004917.1_89,GCF_000007905.1,33
GCF_000008365.1_NC_006908.1_1184,GCF_000008365.1,29
GCF_000008365.1_NC_006908.1_229,GCF_000008365.1,12
GCF_000008365.1_NC_006908.1_232,GCF_000008365.1,63
GCF_000008365.1_NC_006908.1_286,GCF_000008365.1,12
GCF_000008365.1_NC_006908.1_354,GCF_000008365.1,36
GCF_000008365.1_NC_006908.1_450,GCF_000008365.1,12
GCF_000008365.1_NC_006908.1_480,GCF_000008365.1,16
GCF_000008365.1_NC_006908.1_587,GCF_000008365.1,37
GCF_000008365.1_NC_006908.1_724,GCF_000008365.1,22
GCF_000008365.1_NC_006908.1_739,GCF_000008365.1,21
GCF_000008365.1_NC_006908.1_821,GCF_000008365.1,33
GCF_000008365.1_NC_006908.1_845,GCF_000008365.1,18
GCF_000008365.1_NC_006908.1_870,GCF_000008365.1,22
GCF_000008365.1_NC_006908.1_901,GCF_000008365.1,16
GCF_000008365.1_NC_006908.1_946,GCF_000008365.1,86
GCF_000008505.1_NC_005957.1_1035,GCF_000008505.1,15
GCF_000008505.1_NC_005957.1_1269,GCF_000008505.1,12
GCF_000008505.1_NC_005957.1_1609,GCF_000008505.1,16
GCF_000008505.1_NC_005957.1_1610,GCF_000008505.1,14
GCF_000008505.1_NC_005957.1_1611,GCF_000008505.1,34
GCF_000008505.1_NC_005957.1_1737,GCF_000008505.1,17
GCF_000008505.1_NC_005957.1_1788,GCF_000008505.1,199
GCF_000008505.1_NC_005957.1_1800,GCF_000008505.1,15
GCF_000008505.1_NC_005957.1_1835,GCF_000008505.1,18
GCF_000008505.1_NC_005957.1_1864,GCF_000008505.1,14
GCF_000008505.1_NC_005957.1_1933,GCF_000008505.1,20
GCF_000008505.1_NC_005957.1_1934,GCF_000008505.1,11
GCF_000008505.1_NC_005957.1_2056,GCF_000008505.1,20
GCF_000008505.1_NC_005957.1_2154,GCF_000008505.1,16
GCF_000008505.1_NC_005957.1_2225,GCF_000008505.1,14
GCF_000008505.1_NC_005957.1_2379,GCF_000008505.1,15
GCF_000008505.1_NC_005957.1_2512,GCF_000008505.1,23
GCF_000008505.1_NC_005957.1_2535,GCF_000008505.1,14
GCF_000008505.1_NC_005957.1_2541,GCF_000008505.1,18
GCF_000008505.1_NC_005957.1_2569,GCF_000008505.1,26
GCF_000008505.1_NC_005957.1_2572,GCF_000008505.1,169
GCF_000008505.1_NC_005957.1_2670,GCF_000008505.1,33
GCF_000008505.1_NC_005957.1_2692,GCF_000008505.1,12
GCF_000008505.1_NC_005957.1_2699,GCF_000008505.1,16
GCF_000008505.1_NC_005957.1_2802,GCF_000008505.1,11
GCF_000008505.1_NC_005957.1_2816,GCF_000008505.1,15
GCF_000008505.1_NC_005957.1_2824,GCF_000008505.1,10
GCF_000008505.1_NC_005957.1_2827,GCF_000008505.1,16
GCF_000008505.1_NC_005957.1_2831,GCF_000008505.1,64
GCF_000008505.1_NC_005957.1_2889,GCF_000008505.1,17
GCF_000008505.1_NC_005957.1_2890,GCF_000008505.1,17
GCF_000008505.1_NC_005957.1_2922,GCF_000008505.1,86
GCF_000008505.1_NC_005957.1_2923,GCF_000008505.1,13
GCF_000008505.1_NC_005957.1_2966,GCF_000008505.1,24
GCF_000008505.1_NC_005957.1_2989,GCF_000008505.1,12
GCF_000008505.1_NC_005957.1_3023,GCF_000008505.1,13
GCF_000008505.1_NC_005957.1_3028,GCF_000008505.1,18
GCF_000008505.1_NC_005957.1_3045,GCF_000008505.1,12
GCF_000008505.1_NC_005957.1_3093,GCF_000008505.1,10
GCF_000008505.1_NC_005957.1_3183,GCF_000008505.1,17
GCF_000008505.1_NC_005957.1_3267,GCF_000008505.1,15
GCF_000008505.1_NC_005957.1_3563,GCF_000008505.1,20
GCF_000008505.1_NC_005957.1_3584,GCF_000008505.1,13
GCF_000008505.1_NC_005957.1_3849,GCF_000008505.1,16
GCF_000008505.1_NC_005957.1_3909,GCF_000008505.1,14
GCF_000008505.1_NC_005957.1_3912,GCF_000008505.1,21
GCF_000008505.1_NC_005957.1_4043,GCF_000008505.1,19
GCF_000008505.1_NC_005957.1_4074,GCF_000008505.1,20
GCF_000008505.1_NC_005957.1_4091,GCF_000008505.1,27
GCF_000008505.1_NC_005957.1_4105,GCF_000008505.1,20
GCF_000008505.1_NC_005957.1_4361,GCF_000008505.1,11
GCF_000008505.1_NC_005957.1_4489,GCF_000008505.1,18
GCF_000008505.1_NC_005957.1_4620,GCF_000008505.1,33
GCF_000008505.1_NC_005957.1_4744,GCF_000008505.1,21
GCF_000008505.1_NC_005957.1_4829,GCF_000008505.1,18
GCF_000008505.1_NC_005957.1_4840,GCF_000008505.1,12
GCF_000008505.1_NC_005957.1_5051,GCF_000008505.1,20
GCF_000008505.1_NC_005957.1_5192,GCF_000008505.1,17
GCF_000008505.1_NC_005957.1_561,GCF_000008505.1,18
GCF_000008505.1_NC_005957.1_584,GCF_000008505.1,22
GCF_000008505.1_NC_005957.1_617,GCF_000008505.1,18
GCF_000008505.1_NC_005957.1_726,GCF_000008505.1,16
GCF_000008505.1_NC_005957.1_746,GCF_000008505.1,15
GCF_000008505.1_NC_005957.1_749,GCF_000008505.1,12
GCF_000008505.1_NC_005957.1_895,GCF_000008505.1,15
GCF_000008505.1_NC_005957.1_922,GCF_000008505.1,12
GCF_000008505.1_NC_005957.1_936,GCF_000008505.1,14
GCF_000008505.1_NC_005957.1_970,GCF_000008505.1,10
GCF_000008625.1_NC_000918.1_106,GCF_000008625.1,12
GCF_000008625.1_NC_000918.1_1379,GCF_000008625.1,11
GCF_000008625.1_NC_000918.1_1422,GCF_000008625.1,45
GCF_000008625.1_NC_000918.1_151,GCF_000008625.1,21
GCF_000008625.1_NC_000918.1_1515,GCF_000008625.1,16
GCF_000008625.1_NC_000918.1_1630,GCF_000008625.1,16
GCF_000008625.1_NC_000918.1_1665,GCF_000008625.1,11
GCF_000008625.1_NC_000918.1_180,GCF_000008625.1,72
GCF_000008625.1_NC_000918.1_602,GCF_000008625.1,10
GCF_000008625.1_NC_000918.1_69,GCF_000008625.1,21
GCF_000008625.1_NC_000918.1_699,GCF_000008625.1,10
GCF_000008625.1_NC_000918.1_720,GCF_000008625.1,15
GCF_000008625.1_NC_000918.1_747,GCF_000008625.1,76
GCF_000008625.1_NC_000918.1_765,GCF_000008625.1,10
GCF_000008625.1_NC_000918.1_905,GCF_000008625.1,10
GCF_000008625.1_NC_000918.1_908,GCF_000008625.1,43
GCF_000008625.1_NC_000918.1_954,GCF_000008625.1,54
GCF_000008625.1_NC_000918.1_959,GCF_000008625.1,27
GCF_000008765.1_NC_001988.2_40,GCF_000008765.1,12
GCF_000008765.1_NC_001988.2_78,GCF_000008765.1,23
GCF_000008765.1_NC_003030.1_1018,GCF_000008765.1,19
GCF_000008765.1_NC_003030.1_1266,GCF_000008765.1,44
GCF_000008765.1_NC_003030.1_1299,GCF_000008765.1,46
GCF_000008765.1_NC_003030.1_1344,GCF_000008765.1,24
GCF_000008765.1_NC_003030.1_1371,GCF_000008765.1,14
GCF_000008765.1_NC_003030.1_1381,GCF_000008765.1,11
GCF_000008765.1_NC_003030.1_1427,GCF_000008765.1,11
GCF_000008765.1_NC_003030.1_1429,GCF_000008765.1,14
GCF_000008765.1_NC_003030.1_1577,GCF_000008765.1,12
GCF_000008765.1_NC_003030.1_1621,GCF_000008765.1,11
GCF_000008765.1_NC_003030.1_164,GCF_000008765.1,20
GCF_000008765.1_NC_003030.1_174,GCF_000008765.1,15
GCF_000008765.1_NC_003030.1_1830,GCF_000008765.1,17
GCF_000008765.1_NC_003030.1_207,GCF_000008765.1,11
GCF_000008765.1_NC_003030.1_2290,GCF_000008765.1,47
GCF_000008765.1_NC_003030.1_2424,GCF_000008765.1,37
GCF_000008765.1_NC_003030.1_2434,GCF_000008765.1,14
GCF_000008765.1_NC_003030.1_2442,GCF_000008765.1,19
GCF_000008765.1_NC_003030.1_2496,GCF_000008765.1,212
GCF_000008765.1_NC_003030.1_2647,GCF_000008765.1,14
GCF_000008765.1_NC_003030.1_2810,GCF_000008765.1,46
GCF_000008765.1_NC_003030.1_2937,GCF_000008765.1,10
GCF_000008765.1_NC_003030.1_2941,GCF_000008765.1,10
GCF_000008765.1_NC_003030.1_2980,GCF_000008765.1,18
GCF_000008765.1_NC_003030.1_299,GCF_000008765.1,18
GCF_000008765.1_NC_003030.1_2996,GCF_000008765.1,540
GCF_000008765.1_NC_003030.1_332,GCF_000008765.1,10
GCF_000008765.1_NC_003030.1_3337,GCF_000008765.1,56
GCF_000008765.1_NC_003030.1_3347,GCF_000008765.1,11
GCF_000008765.1_NC_003030.1_3446,GCF_000008765.1,124
GCF_000008765.1_NC_003030.1_3690,GCF_000008765.1,48
GCF_000008765.1_NC_003030.1_3691,GCF_000008765.1,34
GCF_000008765.1_NC_003030.1_470,GCF_000008765.1,35
GCF_000008765.1_NC_003030.1_509,GCF_000008765.1,127
GCF_000008765.1_NC_003030.1_582,GCF_000008765.1,28
GCF_000008765.1_NC_003030.1_646,GCF_000008765.1,14
GCF_000008765.1_NC_003030.1_684,GCF_000008765.1,29
GCF_000008765.1_NC_003030.1_74,GCF_000008765.1,36
GCF_000008765.1_NC_003030.1_759,GCF_000008765.1,14
GCF_000008765.1_NC_003030.1_793,GCF_000008765.1,14
GCF_000008765.1_NC_003030.1_881,GCF_000008765.1,15
GCF_000008765.1_NC_003030.1_995,GCF_000008765.1,15
GCF_000009125.1_NC_003295.1_1082,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_1351,GCF_000009125.1,24
GCF_000009125.1_NC_003295.1_149,GCF_000009125.1,20
GCF_000009125.1_NC_003295.1_1522,GCF_000009125.1,40
GCF_000009125.1_NC_003295.1_1861,GCF_000009125.1,13
GCF_000009125.1_NC_003295.1_1893,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_1904,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_1928,GCF_000009125.1,50
GCF_000009125.1_NC_003295.1_1986,GCF_000009125.1,24
GCF_000009125.1_NC_003295.1_2155,GCF_000009125.1,12
GCF_000009125.1_NC_003295.1_225,GCF_000009125.1,11
GCF_000009125.1_NC_003295.1_2310,GCF_000009125.1,16
GCF_000009125.1_NC_003295.1_2316,GCF_000009125.1,18
GCF_000009125.1_NC_003295.1_2420,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_2465,GCF_000009125.1,681
GCF_000009125.1_NC_003295.1_2497,GCF_000009125.1,40
GCF_000009125.1_NC_003295.1_25,GCF_000009125.1,34
GCF_000009125.1_NC_003295.1_2514,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_2521,GCF_000009125.1,54
GCF_000009125.1_NC_003295.1_256,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_2735,GCF_000009125.1,12
GCF_000009125.1_NC_003295.1_2970,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_3069,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_3099,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_3288,GCF_000009125.1,44
GCF_000009125.1_NC_003295.1_3290,GCF_000009125.1,12
GCF_000009125.1_NC_003295.1_3365,GCF_000009125.1,44
GCF_000009125.1_NC_003295.1_3383,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_3390,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_388,GCF_000009125.1,105
GCF_000009125.1_NC_003295.1_464,GCF_000009125.1,25
GCF_000009125.1_NC_003295.1_592,GCF_000009125.1,212
GCF_000009125.1_NC_003295.1_600,GCF_000009125.1,11
GCF_000009125.1_NC_003295.1_601,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_674,GCF_000009125.1,10
GCF_000009125.1_NC_003295.1_675,GCF_000009125.1,14
GCF_000009125.1_NC_003295.1_687,GCF_000009125.1,21
GCF_000009125.1_NC_003296.1_1000,GCF_000009125.1,12
GCF_000009125.1_NC_003296.1_1040,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_1157,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_1167,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_1168,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_1169,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_1356,GCF_000009125.1,566
GCF_000009125.1_NC_003296.1_1482,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_1612,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_331,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_339,GCF_000009125.1,16
GCF_000009125.1_NC_003296.1_403,GCF_000009125.1,28
GCF_000009125.1_NC_003296.1_450,GCF_000009125.1,16
GCF_000009125.1_NC_003296.1_460,GCF_000009125.1,53
GCF_000009125.1_NC_003296.1_496,GCF_000009125.1,15
GCF_000009125.1_NC_003296.1_507,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_76,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_774,GCF_000009125.1,10
GCF_000009125.1_NC_003296.1_776,GCF_000009125.1,277
GCF_000009125.1_NC_003296.1_810,GCF_000009125.1,28
GCF_000009125.1_NC_003296.1_864,GCF_000009125.1,12
GCF_000009125.1_NC_003296.1_973,GCF_000009125.1,20
GCF_000009165.1_NC_007506.1_43,GCF_000009165.1,33
GCF_000009165.1_NC_007508.1_1028,GCF_000009165.1,10
GCF_000009165.1_NC_007508.1_106,GCF_000009165.1,18
GCF_000009165.1_NC_007508.1_1291,GCF_000009165.1,14
GCF_000009165.1_NC_007508.1_1372,GCF_000009165.1,20
GCF_000009165.1_NC_007508.1_139,GCF_000009165.1,29
GCF_000009165.1_NC_007508.1_1393,GCF_000009165.1,11
GCF_000009165.1_NC_007508.1_1686,GCF_000009165.1,25
GCF_000009165.1_NC_007508.1_1932,GCF_000009165.1,15
GCF_000009165.1_NC_007508.1_1993,GCF_000009165.1,14
GCF_000009165.1_NC_007508.1_206,GCF_000009165.1,17
GCF_000009165.1_NC_007508.1_2122,GCF_000009165.1,11
GCF_000009165.1_NC_007508.1_2285,GCF_000009165.1,51
GCF_000009165.1_NC_007508.1_2290,GCF_000009165.1,19
GCF_000009165.1_NC_007508.1_2311,GCF_000009165.1,27
GCF_000009165.1_NC_007508.1_2761,GCF_000009165.1,37
GCF_000009165.1_NC_007508.1_2967,GCF_000009165.1,13
GCF_000009165.1_NC_007508.1_3065,GCF_000009165.1,13
GCF_000009165.1_NC_007508.1_3253,GCF_000009165.1,12
GCF_000009165.1_NC_007508.1_3370,GCF_000009165.1,88
GCF_000009165.1_NC_007508.1_3558,GCF_000009165.1,102
GCF_000009165.1_NC_007508.1_3786,GCF_000009165.1,12
GCF_000009165.1_NC_007508.1_3884,GCF_000009165.1,20
GCF_000009165.1_NC_007508.1_4138,GCF_000009165.1,20
GCF_000009165.1_NC_007508.1_425,GCF_000009165.1,39
GCF_000009165.1_NC_007508.1_4357,GCF_000009165.1,17
GCF_000009165.1_NC_007508.1_812,GCF_000009165.1,14
GCF_000009165.1_NC_007508.1_866,GCF_000009165.1,49
GCF_000009165.1_NC_007508.1_905,GCF_000009165.1,51
GCF_000009165.1_NC_007508.1_906,GCF_000009165.1,20
GCF_000009265.1_NC_008378.1_107,GCF_000009265.1,13
GCF_000009265.1_NC_008378.1_362,GCF_000009265.1,18
GCF_000009265.1_NC_008378.1_484,GCF_000009265.1,17
GCF_000009265.1_NC_008378.1_550,GCF_000009265.1,94
GCF_000009265.1_NC_008378.1_551,GCF_000009265.1,37
GCF_000009265.1_NC_008378.1_558,GCF_000009265.1,16
GCF_000009265.1_NC_008378.1_677,GCF_000009265.1,13
GCF_000009265.1_NC_008379.1_185,GCF_000009265.1,11
GCF_000009265.1_NC_008379.1_52,GCF_000009265.1,35
GCF_000009265.1_NC_008379.1_56,GCF_000009265.1,21
GCF_000009265.1_NC_008380.1_1145,GCF_000009265.1,22
GCF_000009265.1_NC_008380.1_1149,GCF_000009265.1,10
GCF_000009265.1_NC_008380.1_1150,GCF_000009265.1,19
GCF_000009265.1_NC_008380.1_1290,GCF_000009265.1,49
GCF_000009265.1_NC_008380.1_1304,GCF_000009265.1,175
GCF_000009265.1_NC_008380.1_1338,GCF_000009265.1,23
GCF_000009265.1_NC_008380.1_169,GCF_000009265.1,51
GCF_000009265.1_NC_008380.1_2136,GCF_000009265.1,22
GCF_000009265.1_NC_008380.1_2355,GCF_000009265.1,101
GCF_000009265.1_NC_008380.1_2629,GCF_000009265.1,22
GCF_000009265.1_NC_008380.1_2680,GCF_000009265.1,17
GCF_000009265.1_NC_008380.1_2840,GCF_000009265.1,30
GCF_000009265.1_NC_008380.1_3001,GCF_000009265.1,12
GCF_000009265.1_NC_008380.1_3097,GCF_000009265.1,20
GCF_000009265.1_NC_008380.1_3288,GCF_000009265.1,19
GCF_000009265.1_NC_008380.1_3360,GCF_000009265.1,27
GCF_000009265.1_NC_008380.1_3479,GCF_000009265.1,12
GCF_000009265.1_NC_008380.1_3481,GCF_000009265.1,20
GCF_000009265.1_NC_008380.1_633,GCF_000009265.1,18
GCF_000009265.1_NC_008380.1_744,GCF_000009265.1,43
GCF_000009265.1_NC_008380.1_894,GCF_000009265.1,24
GCF_000009265.1_NC_008381.1_113,GCF_000009265.1,12
GCF_000009265.1_NC_008381.1_202,GCF_000009265.1,14
GCF_000009265.1_NC_008381.1_458,GCF_000009265.1,43
GCF_000009265.1_NC_008382.1_109,GCF_000009265.1,13
GCF_000009265.1_NC_008382.1_121,GCF_000009265.1,10
GCF_000009265.1_NC_008382.1_132,GCF_000009265.1,18
