genome_index,genome_id,genus,species,full_name
37,GCF_000011385.1_Gloeobacter_violaceus_PCC_7421_6mer,Gloeobacter,violaceus,Gloeobacter_violaceus
38,GCF_000011465.1_Prochlorococcus_marinus_subsp__pastoris_str__CCMP1_6mer,Prochlorococcus,marinus,Prochlorococcus_marinus
39,GCF_000011565.2_Candidatus_Protochlamydia_amoebophila_UWE25_6mer,Candidatus,Protochlamydia,Candidatus_Protochlamydia
40,GCF_000011805.1_Aliivibrio_fischeri_ES114_6mer,Aliivibrio,fischeri,Aliivibrio_fischeri
41,GCF_000011945.1_Anaplasma_marginale_str__St__Maries_6mer,Anaplasma,marginale,Anaplasma_marginale
42,GCF_000012225.1_Aster_yellows_witches_-broom_phytoplasma_AYWB_6mer,Aster,yellows,Aster_yellows
43,GCF_000012265.1_Pseudomonas_protegens_Pf-5_6mer,Pseudomonas,protegens,Pseudomonas_protegens
44,GCF_000012305.1_Psychrobacter_arcticus_273-4_6mer,Psychrobacter,arcticus,Psychrobacter_arcticus
45,GCF_000012325.1_Colwellia_psychrerythraea_34H_6mer,Colwellia,psychrerythraea,Colwellia_psychrerythraea
46,GCF_000012345.1_Candidatus_Pelagibacter_ubique_HTCC1062_6mer,Candidatus,Pelagibacter,Candidatus_Pelagibacter
47,GCF_000012485.1_Pelodictyon_luteolum_DSM_273_6mer,Pelodictyon,luteolum,Pelodictyon_luteolum
48,GCF_000012525.1_Synechococcus_elongatus_PCC_7942___FACHB-805_6mer,Synechococcus,elongatus,Synechococcus_elongatus
49,GCF_000012725.1_Nitrobacter_winogradskyi_Nb-255_6mer,Nitrobacter,winogradskyi,Nitrobacter_winogradskyi
50,GCF_000012745.1_Thiobacillus_denitrificans_ATCC_25259_6mer,Thiobacillus,denitrificans,Thiobacillus_denitrificans
51,GCF_000012805.1_Nitrosococcus_oceani_ATCC_19707_6mer,Nitrosococcus,oceani,Nitrosococcus_oceani
52,GCF_000012865.1_Carboxydothermus_hydrogenoformans_Z-2901_6mer,Carboxydothermus,hydrogenoformans,Carboxydothermus_hydrogenoformans
53,GCF_000012885.1_Syntrophotalea_carbinolica_DSM_2380_6mer,Syntrophotalea,carbinolica,Syntrophotalea_carbinolica
54,GCF_000012925.1_Geobacter_metallireducens_GS-15_6mer,Geobacter,metallireducens,Geobacter_metallireducens
55,GCF_000012945.1_Burkholderia_lata_6mer,Burkholderia,lata,Burkholderia_lata
56,GCF_000012965.1_Sulfurimonas_denitrificans_DSM_1251_6mer,Sulfurimonas,denitrificans,Sulfurimonas_denitrificans
57,GCF_000012985.1_Hahella_chejuensis_KCTC_2396_6mer,Hahella,chejuensis,Hahella_chejuensis
58,GCF_000013025.1_Hyphomonas_neptunium_ATCC_15444_6mer,Hyphomonas,neptunium,Hyphomonas_neptunium
59,GCF_000013145.1_Ehrlichia_chaffeensis_str__Arkansas_6mer,Ehrlichia,chaffeensis,Ehrlichia_chaffeensis
60,GCF_000013165.1_Ehrlichia_sennetsu_str__Miyayama_6mer,Ehrlichia,sennetsu,Ehrlichia_sennetsu
61,GCF_000013185.1_Baumannia_cicadellinicola_str__Hc__Homalodisca_coa_6mer,Baumannia,cicadellinicola,Baumannia_cicadellinicola
62,GCF_000013325.1_Novosphingobium_aromaticivorans_DSM_12444_6mer,Novosphingobium,aromaticivorans,Novosphingobium_aromaticivorans
63,GCF_000013345.1_Frankia_casuarinae_6mer,Frankia,casuarinae,Frankia_casuarinae
64,GCF_000013385.1_Anaeromyxobacter_dehalogenans_2CP-C_6mer,Anaeromyxobacter,dehalogenans,Anaeromyxobacter_dehalogenans
65,GCF_000013405.1_Syntrophus_aciditrophicus_SB_6mer,Syntrophus,aciditrophicus,Syntrophus_aciditrophicus
66,GCF_000013565.1_Jannaschia_sp__CCS1_6mer,Jannaschia,sp,Jannaschia_sp
67,GCF_000013645.1_Paraburkholderia_xenovorans_LB400_6mer,Paraburkholderia,xenovorans,Paraburkholderia_xenovorans
68,GCF_000013705.1_Methylobacillus_flagellatus_KT_6mer,Methylobacillus,flagellatus,Methylobacillus_flagellatus
69,GCF_000013765.1_Shewanella_denitrificans_OS217_6mer,Shewanella,denitrificans,Shewanella_denitrificans
70,GCF_000013865.1_Polaromonas_sp__JS666_6mer,Polaromonas,sp,Polaromonas_sp
71,GCF_000013885.1_Nitrobacter_hamburgensis_X14_6mer,Nitrobacter,hamburgensis,Nitrobacter_hamburgensis
72,GCF_000013985.1_Sphingopyxis_alaskensis_RB2256_6mer,Sphingopyxis,alaskensis,Sphingopyxis_alaskensis
73,GCF_000014005.1_Candidatus_Koribacter_versatilis_Ellin345_6mer,Candidatus,Koribacter,Candidatus_Koribacter
74,GCF_000014065.1_Ruegeria_sp__TM1040_6mer,Ruegeria,sp,Ruegeria_sp
75,GCF_000014145.1_Cytophaga_hutchinsonii_ATCC_33406_6mer,Cytophaga,hutchinsonii,Cytophaga_hutchinsonii
76,GCF_000014265.1_Trichodesmium_erythraeum_IMS101_6mer,Trichodesmium,erythraeum,Trichodesmium_erythraeum
77,GCF_000014345.1_Rickettsia_canadensis_str__McKiel_6mer,Rickettsia,canadensis,Rickettsia_canadensis
78,GCF_000014565.1_Rhodococcus_jostii_RHA1_6mer,Rhodococcus,jostii,Rhodococcus_jostii
79,GCF_000014685.1_Shewanella_sp__MR-4_6mer,Shewanella,sp,Shewanella_sp
80,GCF_000014705.1_Shewanella_frigidimarina_NCIMB_400_6mer,Shewanella,frigidimarina,Shewanella_frigidimarina
81,GCF_000014725.1_Syntrophomonas_wolfei_subsp__wolfei_str__Goettinge_6mer,Syntrophomonas,wolfei,Syntrophomonas_wolfei
82,GCF_000014765.1_Nitrosomonas_eutropha_C91_6mer,Nitrosomonas,eutropha,Nitrosomonas_eutropha
83,GCF_000014785.1_Alkalilimnicola_ehrlichii_MLHE-1_6mer,Alkalilimnicola,ehrlichii,Alkalilimnicola_ehrlichii
84,GCF_000014865.1_Magnetococcus_marinus_MC-1_6mer,Magnetococcus,marinus,Magnetococcus_marinus
85,GCF_000014885.1_Shewanella_piezotolerans_WP3_6mer,Shewanella,piezotolerans,Shewanella_piezotolerans
86,GCF_000014965.1_Syntrophobacter_fumaroxidans_MPOB_6mer,Syntrophobacter,fumaroxidans,Syntrophobacter_fumaroxidans
87,GCF_000015025.1_Acidothermus_cellulolyticus_11B_6mer,Acidothermus,cellulolyticus,Acidothermus_cellulolyticus
88,GCF_000015045.1_Pelobacter_propionicus_DSM_2379_6mer,Pelobacter,propionicus,Pelobacter_propionicus
89,GCF_000015105.1_Candidatus_Ruthia_magnifica_str__Cm__Calyptogena_m_6mer,Candidatus,Ruthia,Candidatus_Ruthia
90,GCF_000015125.1_Chlorobium_phaeobacteroides_DSM_266_6mer,Chlorobium,phaeobacteroides,Chlorobium_phaeobacteroides
91,GCF_000015245.1_Shewanella_amazonensis_SB2B_6mer,Shewanella,amazonensis,Shewanella_amazonensis
92,GCF_000015265.1_Nocardioides_sp__JS614_6mer,Nocardioides,sp,Nocardioides_sp
93,GCF_000015285.1_Psychromonas_ingrahamii_37_6mer,Psychromonas,ingrahamii,Psychromonas_ingrahamii
94,GCF_000015345.1_Dichelobacter_nodosus_VCS1703A_6mer,Dichelobacter,nodosus,Dichelobacter_nodosus
95,GCF_000015365.1_Marinobacter_nauticus_VT8_6mer,Marinobacter,nauticus,Marinobacter_nauticus
96,GCF_000015505.1_Polaromonas_naphthalenivorans_CJ2_6mer,Polaromonas,naphthalenivorans,Polaromonas_naphthalenivorans
97,GCF_000015565.1_Verminephrobacter_eiseniae_EF01-2_6mer,Verminephrobacter,eiseniae,Verminephrobacter_eiseniae
98,GCF_000015585.1_Halorhodospira_halophila_SL1_6mer,Halorhodospira,halophila,Halorhodospira_halophila
99,GCF_000015785.2_Bacillus_velezensis_FZB42_6mer,Bacillus,velezensis,Bacillus_velezensis
100,GCF_000016065.1_Shewanella_loihica_PV-4_6mer,Shewanella,loihica,Shewanella_loihica
101,GCF_000016165.1_Desulforamulus_reducens_MI-1_6mer,Desulforamulus,reducens,Desulforamulus_reducens
102,GCF_000016185.1_Rhodospirillum_centenum_SW_6mer,Rhodospirillum,centenum,Rhodospirillum_centenum
103,GCF_000016285.1_Allorhizobium_ampelinum_S4_6mer,Allorhizobium,ampelinum,Allorhizobium_ampelinum
104,GCF_000016325.1_Enterobacter_sp__638_6mer,Enterobacter,sp,Enterobacter_sp
105,GCF_000016345.1_Polynucleobacter_asymbioticus_QLW-P1DMWA-1_6mer,Polynucleobacter,asymbioticus,Polynucleobacter_asymbioticus
106,GCF_000016425.1_Salinispora_tropica_CNB-440_6mer,Salinispora,tropica,Salinispora_tropica
107,GCF_000016545.1_Caldicellulosiruptor_saccharolyticus_DSM_8903_6mer,Caldicellulosiruptor,saccharolyticus,Caldicellulosiruptor_saccharolyticus
108,GCF_000016625.1_Rickettsia_massiliae_MTU5_6mer,Rickettsia,massiliae,Rickettsia_massiliae
109,GCF_000016665.1_Roseiflexus_sp__RS-1_6mer,Roseiflexus,sp,Roseiflexus_sp
110,GCF_000016725.1_Acidiphilium_cryptum_JF-5_6mer,Acidiphilium,cryptum,Acidiphilium_cryptum
111,GCF_000016785.1_Thermotoga_petrophila_RKU-1_6mer,Thermotoga,petrophila,Thermotoga_petrophila
112,GCF_000016845.1_Brucella_ovis_ATCC_25840_6mer,Brucella,ovis,Brucella_ovis
113,GCF_000016985.1_Alkaliphilus_metalliredigens_QYMF_6mer,Alkaliphilus,metalliredigens,Alkaliphilus_metalliredigens
114,GCF_000017205.1_Pseudomonas_paraeruginosa_PA7_6mer,Pseudomonas,paraeruginosa,Pseudomonas_paraeruginosa
115,GCF_000017245.1_Actinobacillus_succinogenes_130Z_6mer,Actinobacillus,succinogenes,Actinobacillus_succinogenes
116,GCF_000017265.1_Phenylobacterium_zucineum_HLK1_6mer,Phenylobacterium,zucineum,Phenylobacterium_zucineum
117,GCF_000017305.1_Kineococcus_radiotolerans_SRS30216___ATCC_BAA-149_6mer,Kineococcus,radiotolerans,Kineococcus_radiotolerans
118,GCF_000017425.1_Bacillus_cytotoxicus_NVH_391-98_6mer,Bacillus,cytotoxicus,Bacillus_cytotoxicus
119,GCF_000017505.1_Anaeromyxobacter_sp__Fw109-5_6mer,Anaeromyxobacter,sp,Anaeromyxobacter_sp
120,GCF_000017545.1_Fervidobacterium_nodosum_Rt17-B1_6mer,Fervidobacterium,nodosum,Fervidobacterium_nodosum
121,GCF_000017565.1_Parvibaculum_lavamentivorans_DS-1_6mer,Parvibaculum,lavamentivorans,Parvibaculum_lavamentivorans
122,GCF_000017605.1_Leptospira_biflexa_serovar_Patoc_strain__Patoc_1___6mer,Leptospira,biflexa,Leptospira_biflexa
123,GCF_000017805.1_Roseiflexus_castenholzii_DSM_13941_6mer,Roseiflexus,castenholzii,Roseiflexus_castenholzii
124,GCF_000017845.1_Crocosphaera_subtropica_ATCC_51142_6mer,Crocosphaera,subtropica,Crocosphaera_subtropica
125,GCF_000017865.1_Pseudothermotoga_lettingae_TMO_6mer,Pseudothermotoga,lettingae,Pseudothermotoga_lettingae
126,GCF_000018005.1_Parafrankia_sp__EAN1pec_6mer,Parafrankia,sp,Parafrankia_sp
127,GCF_000018025.1_Shewanella_sediminis_HAW-EB3_6mer,Shewanella,sediminis,Shewanella_sediminis
128,GCF_000018105.1_Acaryochloris_marina_MBIC11017_6mer,Acaryochloris,marina,Acaryochloris_marina
129,GCF_000018205.1_Rickettsia_akari_str__Hartford_6mer,Rickettsia,akari,Rickettsia_akari
130,GCF_000018285.1_Shewanella_pealeana_ATCC_700345_6mer,Shewanella,pealeana,Shewanella_pealeana
131,GCF_000018325.1_Alkaliphilus_oremlandii_OhILAs_6mer,Alkaliphilus,oremlandii,Alkaliphilus_oremlandii
132,GCF_000018405.1_Desulfosudis_oleivorans_Hxd3_6mer,Desulfosudis,oleivorans,Desulfosudis_oleivorans
133,GCF_000018605.1_Petrotoga_mobilis_SJ95_6mer,Petrotoga,mobilis,Petrotoga_mobilis
134,GCF_000018685.1_Lachnoclostridium_phytofermentans_ISDg_6mer,Lachnoclostridium,phytofermentans,Lachnoclostridium_phytofermentans
135,GCF_000018865.1_Chloroflexus_aurantiacus_J-10-fl_6mer,Chloroflexus,aurantiacus,Chloroflexus_aurantiacus
136,GCF_000018945.1_Thermotoga_neapolitana_DSM_4359_6mer,Thermotoga,neapolitana,Thermotoga_neapolitana
137,GCF_000019065.1_Thermoanaerobacter_sp__X514_6mer,Thermoanaerobacter,sp,Thermoanaerobacter_sp
138,GCF_000019085.1_Thermoanaerobacter_pseudethanolicus_ATCC_33223_6mer,Thermoanaerobacter,pseudethanolicus,Thermoanaerobacter_pseudethanolicus
139,GCF_000019165.1_Heliomicrobium_modesticaldum_Ice1_6mer,Heliomicrobium,modesticaldum,Heliomicrobium_modesticaldum
140,GCF_000019185.1_Shewanella_halifaxensis_HAW-EB4_6mer,Shewanella,halifaxensis,Shewanella_halifaxensis
141,GCF_000019225.1_Cellvibrio_japonicus_Ueda107_6mer,Cellvibrio,japonicus,Cellvibrio_japonicus
142,GCF_000019245.4_Lacticaseibacillus_paracasei_6mer,Lacticaseibacillus,paracasei,Lacticaseibacillus_paracasei
143,GCF_000019365.1_Methylobacterium_sp__4-46_6mer,Methylobacterium,sp,Methylobacterium_sp
144,GCF_000019485.1_Picosynechococcus_sp__PCC_7002_6mer,Picosynechococcus,sp,Picosynechococcus_sp
145,GCF_000019505.1_Burkholderia_orbicola_MC0-3_6mer,Burkholderia,orbicola,Burkholderia_orbicola
146,GCF_000019525.1_Shewanella_woodyi_ATCC_51908_6mer,Shewanella,woodyi,Shewanella_woodyi
147,GCF_000019565.1_Klebsiella_variicola_6mer,Klebsiella,variicola,Klebsiella_variicola
148,GCF_000019665.1_Methylacidiphilum_infernorum_V4_6mer,Methylacidiphilum,infernorum,Methylacidiphilum_infernorum
149,GCF_000019685.1_Borrelia_duttonii_Ly_6mer,Borrelia,duttonii,Borrelia_duttonii
150,GCF_000019785.1_Leptothrix_cholodnii_SP-6_6mer,Leptothrix,cholodnii,Leptothrix_cholodnii
151,GCF_000019845.1_Beijerinckia_indica_subsp__indica_ATCC_9039_6mer,Beijerinckia,indica,Beijerinckia_indica
152,GCF_000019905.1_Exiguobacterium_artemiae_255-15_6mer,Exiguobacterium,artemiae,Exiguobacterium_artemiae
153,GCF_000019965.1_Opitutus_terrae_PB90-1_6mer,Opitutus,terrae,Opitutus_terrae
154,GCF_000020005.1_Natranaerobius_thermophilus_JW_NM-WN-LF_6mer,Natranaerobius,thermophilus,Natranaerobius_thermophilus
155,GCF_000020025.1_Nostoc_punctiforme_PCC_73102_6mer,Nostoc,punctiforme,Nostoc_punctiforme
156,GCF_000020045.1_Paraburkholderia_phymatum_STM815_6mer,Paraburkholderia,phymatum,Paraburkholderia_phymatum
157,GCF_000020125.1_Paraburkholderia_phytofirmans_PsJN_6mer,Paraburkholderia,phytofirmans,Paraburkholderia_phytofirmans
158,GCF_000020145.1_Elusimicrobium_minutum_Pei191_6mer,Elusimicrobium,minutum,Elusimicrobium_minutum
159,GCF_000020325.1_Sulfurihydrogenibium_sp__YO3AOP1_6mer,Sulfurihydrogenibium,sp,Sulfurihydrogenibium_sp
160,GCF_000020365.1_Desulforapulum_autotrophicum_HRM2_6mer,Desulforapulum,autotrophicum,Desulforapulum_autotrophicum
161,GCF_000020465.1_Chlorobium_limicola_DSM_245_6mer,Chlorobium,limicola,Chlorobium_limicola
162,GCF_000020485.1_Halothermothrix_orenii_H_168_6mer,Halothermothrix,orenii,Halothermothrix_orenii
163,GCF_000020505.1_Chlorobaculum_parvum_NCIB_8327_6mer,Chlorobaculum,parvum,Chlorobaculum_parvum
164,GCF_000020525.1_Chloroherpeton_thalassium_ATCC_35110_6mer,Chloroherpeton,thalassium,Chloroherpeton_thalassium
165,GCF_000020565.1_Candidatus_Amoebophilus_asiaticus_5a2_6mer,Candidatus,Amoebophilus,Candidatus_Amoebophilus
166,GCF_000020625.1_Prosthecochloris_aestuarii_DSM_271_6mer,Prosthecochloris,aestuarii,Prosthecochloris_aestuarii
167,GCF_000020645.1_Pelodictyon_phaeoclathratiforme_BU-1_6mer,Pelodictyon,phaeoclathratiforme,Pelodictyon_phaeoclathratiforme
168,GCF_000020685.1_Deinococcus_deserti_VCD115_6mer,Deinococcus,deserti,Deinococcus_deserti
169,GCF_000020725.1_Citrifermentans_bemidjiense_Bem_6mer,Citrifermentans,bemidjiense,Citrifermentans_bemidjiense
170,GCF_000020785.1_Hydrogenobaculum_sp__Y04AAS1_6mer,Hydrogenobaculum,sp,Hydrogenobaculum_sp
171,GCF_000020865.1_Edwardsiella_piscicida_6mer,Edwardsiella,piscicida,Edwardsiella_piscicida
172,GCF_000020945.1_Coprothermobacter_proteolyticus_DSM_5265_6mer,Coprothermobacter,proteolyticus,Coprothermobacter_proteolyticus
173,GCF_000020965.1_Dictyoglomus_thermophilum_H-6-12_6mer,Dictyoglomus,thermophilum,Dictyoglomus_thermophilum
174,GCF_000020985.1_Thermodesulfovibrio_yellowstonii_DSM_11347_6mer,Thermodesulfovibrio,yellowstonii,Thermodesulfovibrio_yellowstonii
175,GCF_000021285.1_Thermosipho_africanus_TCF52B_6mer,Thermosipho,africanus,Thermosipho_africanus
176,GCF_000021325.1_Gluconacetobacter_diazotrophicus_PA1_5_6mer,Gluconacetobacter,diazotrophicus,Gluconacetobacter_diazotrophicus
177,GCF_000021525.1_Rickettsia_peacockii_str__Rustic_6mer,Rickettsia,peacockii,Rickettsia_peacockii
178,GCF_000021545.1_Sulfurihydrogenibium_azorense_Az-Fu1_6mer,Sulfurihydrogenibium,azorense,Sulfurihydrogenibium_azorense
179,GCF_000021565.1_Persephonella_marina_EX-H1_6mer,Persephonella,marina,Persephonella_marina
180,GCF_000021645.1_Dictyoglomus_turgidum_DSM_6724_6mer,Dictyoglomus,turgidum,Dictyoglomus_turgidum
181,GCF_000021685.1_Thermomicrobium_roseum_DSM_5159_6mer,Thermomicrobium,roseum,Thermomicrobium_roseum
182,GCF_000021725.1_Nautilia_profundicola_AmH_6mer,Nautilia,profundicola,Nautilia_profundicola
183,GCF_000021745.1_Methylocella_silvestris_BL2_6mer,Methylocella,silvestris,Methylocella_silvestris
184,GCF_000021765.1_Thauera_aminoaromatica_6mer,Thauera,aminoaromatica,Thauera_aminoaromatica
185,GCF_000021805.1_Rippkaea_orientalis_PCC_8801_6mer,Rippkaea,orientalis,Rippkaea_orientalis
186,GCF_000021825.1_Gloeothece_citriformis_PCC_7424_6mer,Gloeothece,citriformis,Gloeothece_citriformis
187,GCF_000021905.1_Desulfatibacillum_aliphaticivorans_6mer,Desulfatibacillum,aliphaticivorans,Desulfatibacillum_aliphaticivorans
188,GCF_000021945.1_Chloroflexus_aggregans_DSM_9485_6mer,Chloroflexus,aggregans,Chloroflexus_aggregans
189,GCF_000021985.1_Thioalkalivibrio_sulfidiphilus_HL-EbGr7_6mer,Thioalkalivibrio,sulfidiphilus,Thioalkalivibrio_sulfidiphilus
190,GCF_000022025.1_Pseudarthrobacter_chlorophenolicus_A6_6mer,Pseudarthrobacter,chlorophenolicus,Pseudarthrobacter_chlorophenolicus
191,GCF_000022065.1_Ruminiclostridium_cellulolyticum_H10_6mer,Ruminiclostridium,cellulolyticum,Ruminiclostridium_cellulolyticum
192,GCF_000022085.1_Methylobacterium_nodulans_ORS_2060_6mer,Methylobacterium,nodulans,Methylobacterium_nodulans
193,GCF_000022265.1_Geotalea_daltonii_FRC-32_6mer,Geotalea,daltonii,Geotalea_daltonii
194,GCF_000022285.1_Wolbachia_sp__wRi_6mer,Wolbachia,sp,Wolbachia_sp
195,GCF_000022305.1__Acidovorax__ebreus_TPSY_6mer,,Acidovorax,_Acidovorax
196,GCF_000022325.1_Caldicellulosiruptor_bescii_DSM_6725_6mer,Caldicellulosiruptor,bescii,Caldicellulosiruptor_bescii
197,GCF_000022525.1_Neorickettsia_risticii_str__Illinois_6mer,Neorickettsia,risticii,Neorickettsia_risticii
198,GCF_000022565.1_Acidobacterium_capsulatum_ATCC_51196_6mer,Acidobacterium,capsulatum,Acidobacterium_capsulatum
199,GCF_000022745.1_Brucella_microti_CCM_4915_6mer,Brucella,microti,Brucella_microti
200,GCF_000023005.1_Rickettsia_africae_ESF-5_6mer,Rickettsia,africae,Rickettsia_africae
201,GCF_000023045.1_Exiguobacterium_sp__AT1b_6mer,Exiguobacterium,sp,Exiguobacterium_sp
202,GCF_000023105.1_Beutenbergia_cavernae_DSM_12333_6mer,Beutenbergia,cavernae,Beutenbergia_cavernae
203,GCF_000023125.1_Dyadobacter_fermentans_DSM_18053_6mer,Dyadobacter,fermentans,Dyadobacter_fermentans
204,GCF_000023225.1_Desulfomicrobium_baculatum_DSM_4028_6mer,Desulfomicrobium,baculatum,Desulfomicrobium_baculatum
205,GCF_000023245.1_Actinosynnema_mirum_DSM_43827_6mer,Actinosynnema,mirum,Actinosynnema_mirum
206,GCF_000023265.1_Acidimicrobium_ferrooxidans_DSM_10331_6mer,Acidimicrobium,ferrooxidans,Acidimicrobium_ferrooxidans
207,GCF_000023325.1_Kosmotoga_olearia_TBF_19_5_1_6mer,Kosmotoga,olearia,Kosmotoga_olearia
208,GCF_000023445.1_Maridesulfovibrio_salexigens_DSM_2638_6mer,Maridesulfovibrio,salexigens,Maridesulfovibrio_salexigens
209,GCF_000023465.1_Zunongwangia_profunda_SM-A87_6mer,Zunongwangia,profunda,Zunongwangia_profunda
210,GCF_000023545.1_Musicola_paradisiaca_Ech703_6mer,Musicola,paradisiaca,Musicola_paradisiaca
211,GCF_000023585.1_Paenibacillus_sp__JDR-2_6mer,Paenibacillus,sp,Paenibacillus_sp
212,GCF_000023705.1_Methylotenera_mobilis_JLW8_6mer,Methylotenera,mobilis,Methylotenera_mobilis
213,GCF_000023745.1_Methylovorus_glucosotrophus_SIP3-4_6mer,Methylovorus,glucosotrophus,Methylovorus_glucosotrophus
214,GCF_000023785.1_Hirschia_baltica_ATCC_49814_6mer,Hirschia,baltica,Hirschia_baltica
215,GCF_000023825.1_Pedobacter_heparinus_DSM_2366_6mer,Pedobacter,heparinus,Pedobacter_heparinus
216,GCF_000023845.1_Cryptobacterium_curtum_DSM_15641_6mer,Cryptobacterium,curtum,Cryptobacterium_curtum
217,GCF_000023865.1_Saccharomonospora_viridis_DSM_43017_6mer,Saccharomonospora,viridis,Saccharomonospora_viridis
218,GCF_000023905.1_Leptotrichia_buccalis_C-1013-b_6mer,Leptotrichia,buccalis,Leptotrichia_buccalis
219,GCF_000024005.1_Chitinophaga_pinensis_DSM_2588_6mer,Chitinophaga,pinensis,Chitinophaga_pinensis
220,GCF_000024025.1_Catenulispora_acidiphila_DSM_44928_6mer,Catenulispora,acidiphila,Catenulispora_acidiphila
221,GCF_000024085.1_Kangiella_koreensis_DSM_16069_6mer,Kangiella,koreensis,Kangiella_koreensis
222,GCF_000024105.1_Anaerococcus_prevotii_DSM_20548_6mer,Anaerococcus,prevotii,Anaerococcus_prevotii
